Genome	orange_2.mags.sorted Relative Abundance (%)	orange_2.mags.sorted Trimmed Mean	orange_2.mags.sorted Covered Fraction
MortensenS_xxxx__WK041-2-G-48h-04B8_S117__bin_1_PROK.fna	0	0	0
LeechJ_2020__ERS3967699__bin_4_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2137_73322__bin_66_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__U-22__bin_7_EUK.fna	0	0	0
MASTER_WP4_UNINA_2__J-19__bin_38_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2134_73322__bin_12_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PU007_71775__bin_3_PROK.fna	0	0	0
LeechJ_2020__ERS3967698__bin_1_PROK.fna	0	0	0
MortensenS_xxxx__WK006-2-L-08h-01H5_S47__bin_5_PROK.fna	0	0	0
LeechJ_xxxx__AF59__bin_5_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2201_73323__bin_5_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-16__bin_40_PROK.fna	0	0	0
MASTER_WP4_MATIS_1__S3-19__bin_1_PROK.fna	0	0	0
SternesPR_2017__T2D1_A_shotgun__bin_2_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PM001_71775__bin_4_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB16-30__bin_11_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS15-30__bin_8_PROK.fna	0	0	0
MortensenS_xxxx__WK028-2-L-08h-02I9_S19__bin_2_PROK.fna	0	0	0
PatroJN_2016__SRS1044731__bin_7_PROK.fna	0	0	0
SalvettiE_2016__SRS1050145__bin_9_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__T-22__bin_17_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__N-20__bin_1_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2614__bin_19_EUK.fna	0	0	0
XieM_2019__SAMC044639__bin_4_PROK.fna	0	0	0
LiZ_2018__SRS2920551__bin_23_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS02-22__bin_4_EUK.fna	0	0	0
DeFilippisF_xxxx__DS_56__bin_13_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__R03-19__bin_22_PROK.fna	0	0	0
DuR_2020__DRS139335__bin_25_EUK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB02-22__bin_7_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS05-22__bin_3_EUK.fna	0	0	0
MASTER_WP4_UNINA_2__J-19__bin_14_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__A-20__bin_16_PROK.fna	0	0	0
LeechJ_xxxx__AF25__bin_17_EUK.fna	0	0	0
MortensenS_xxxx__WK020-1-L-08h-02E5_S101__bin_6_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__Q-16__bin_13_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS14-22__bin_29_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q05-22__bin_2_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__MO002_71775__bin_1_PROK.fna	0	0	0
WalshL_xxxx__D12__bin_2_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2608__bin_7_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SA009_71775__bin_15_PROK.fna	0	0	0
LeechJ_2020__ERS3967707__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__G-16__bin_4_PROK.fna	0	0	0
MortensenS_xxxx__WK066-2-G-48h-05I1_S125__bin_1_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2598__bin_8_EUK.fna	0	0	0
MASTER_WP4_CSIC_1__P2172_73322__bin_6_PROK.fna	0	0	0
LeechJ_2020__ERS3967714__bin_6_EUK.fna	0.6170647	4.5124826	0.93967086
LandisEA_2021__SRS5653374__bin_3_PROK.fna	0	0	0
PatroJN_2016__SRS1044736__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GO102_71775__bin_18_PROK.fna	0	0	0
SternesPR_2017__Y3D1_B_shotgun__bin_2_EUK.fna	0	0	0
YulandiA_2020__SRS6115053__bin_26_PROK.fna	0	0	0
WolfeBE_2014__950_Rush_Creek__bin_5_PROK.fna	0	0	0
KumarJ_2019__SRS4562500__bin_6_PROK.fna	0	0	0
PatroJN_2016__SRS1044732__bin_6_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB09-27__bin_3_PROK.fna	0	0	0
WolfeBE_2014__932_Robiola_due_Latte__bin_6_PROK.fna	0	0	0
LandisEA_2021__SRS5653013__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__V-21__bin_39_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2576__bin_11_EUK.fna	0	0	0
LeechJ_xxxx__AF06__bin_8_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-14-AD__bin_11_EUK.fna	0	0	0
DeFilippisF_xxxx__DS_53__bin_5_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-18__bin_41_PROK.fna	0	0	0
WalshAM_2020__ERS3466727__bin_1_PROK.fna	0	0	0
LiZ_2018__SRS2920550__bin_9_PROK.fna	0	0	0
ArikanM_2020__ERS1939655__bin_12_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS14-22__bin_17_PROK.fna	0	0	0
WalshL_xxxx__H3_S87__bin_2_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803194__bin_35_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2623__bin_38_PROK.fna	0	0	0
WolfeBE_2014__771_Tarentaise__bin_10_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__M-20__bin_22_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_12__bin_6_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2517__bin_17_PROK.fna	0	0	0
MortensenS_xxxx__WK006-1-L-48h-01H4_S46__bin_8_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__M-20__bin_10_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2502__bin_5_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2137_73322__bin_36_PROK.fna	0	0	0
LeechJ_xxxx__AF26__bin_14_EUK.fna	0	0	0
MASTER_WP4_UNINA_2__V-29__bin_1_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__R-34__bin_2_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_79__bin_23_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB15-20__bin_2_PROK.fna	0	0	0
LeechJ_xxxx__AF63__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-18__bin_38_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__Q-18__bin_16_PROK.fna	0	0	0
LeechJ_2020__ERS3967742__bin_3_EUK.fna	0	0	0
LeechJ_2020__ERS3967690__bin_4_PROK.fna	0	0	0
PothakosV_2020__ERS2068299__bin_14_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C08-18__bin_12_EUK.fna	0	0	0
ZhaoCC_2020__SRS5803193__bin_14_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__A-20__bin_25_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q06-29__bin_7_PROK.fna	0	0	0
KastmanEK_2016__CSB387__bin_6_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS11-22__bin_7_PROK.fna	0	0	0
LeechJ_xxxx__AF45__bin_9_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__FO007_71775__bin_9_PROK.fna	0	0	0
DeRoosJ_2020__B3M__bin_1_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS15-30__bin_21_PROK.fna	0	0	0
LeechJ_xxxx__AF83__bin_9_PROK.fna	0	0	0
ArikanM_2020__ERS1939655__bin_10_PROK.fna	0	0	0
LiZ_2018__SRS2920551__bin_2_EUK.fna	0	0	0
MASTER_WP4_FFoQSI_1__DC18-F-BR__bin_10_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-17__bin_35_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-M7__bin_53_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2545__bin_25_EUK.fna	0	0	0
ZhaoCC_2020__SRS5803195__bin_38_PROK.fna	0	0	0
WalshAM_2017__ERS1739839__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SP109_71775__bin_29_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C07-19__bin_10_PROK.fna	0	0	0
LeechJ_xxxx__AF74__bin_1_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-22__bin_15_PROK.fna	0	0	0
WalshL_xxxx__H3_S87__bin_4_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2476__bin_1_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_111__bin_23_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2590__bin_1_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-03-M5__bin_37_PROK.fna	0	0	0
MortensenS_xxxx__WK050-1-L-48h-04C8_S126__bin_12_PROK.fna	0	0	0
SternesPR_2017__T1D1_A_shotgun__bin_5_PROK.fna	0	0	0
LeechJ_xxxx__AF17__bin_5_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__I-30__bin_11_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GO004_71775__bin_12_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB07-22__bin_11_PROK.fna	0	0	0
LandisEA_2021__SRS5653199__bin_6_PROK.fna	0	0	0
LeechJ_xxxx__AF43__bin_11_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2172_73322__bin_4_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q03-30__bin_1_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__F03-18__bin_4_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2603__bin_2_PROK.fna	0	0	0
WalshL_xxxx__H3_S87__bin_11_PROK.fna	0	0	0
MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin_10_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-15-BD__bin_9_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_68__bin_16_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__V-21__bin_24_PROK.fna	0	0	0
LeechJ_xxxx__AF83__bin_7_PROK.fna	0	0	0
XieM_2019__SAMC044639__bin_1_PROK.fna	0	0	0
